lat,lon,temperature,precipitation,relative_humidity
38.49861111111111,-5.1211111111111105,20.0,0.0,50.0
37.868611111111115,-6.675000000000001,22.0,0.0,45.0
37.19472222222222,-7.3950000000000005,18.0,0.5,60.0
37.25666666666667,-6.949722222222222,25.0,0.0,40.0
36.499722222222225,-6.257777777777778,19.0,0.2,55.0
36.760555555555555,-5.3741666666666665,21.0,0.0,50.0
36.46555555555556,-6.205555555555556,23.0,0.0,45.0
36.245555555555555,-5.965,20.0,0.0,50.0
37.55611111111111,-4.353888888888888,24.0,0.0,40.0
38.33305555555556,-4.608888888888888,18.0,1.0,70.0
